OptionName,Sharpe_Long,Sharpe_Short,PoP_Long,PoP_Short,VaR_Long,VaR_Short,CVaR_Long,CVaR_Short,Payout_Long,Payout_Short,Premium_Efficiency_Long,Premium_Efficiency_Short,Breakeven_Long,Breakeven_Short,Breakeven_Long_Pct,Breakeven_Short_Pct,MarketScenario,UserMarketView
اختيارخ بساما-5829-14031205,-8.621511416016514,-2.2931760103516345,0.03,16.580000000000002,-2155500.7211871445,-1076676.3255032657,-2311158.163797107,-1250424.6923228437,-0.5145039950065101,-0.39190897393620505,3.4492107171116035e-07,1011242,7447.988057064018,6615.964377011102,22.904093350891387,9.174329653648549,Bearish Market,neutral
اختيارخ اطلس-60000-14031002,,,0.0,100.0,-500000.0,1000.0,-500000.0,1000.0,-1.0,1.0,2e-06,1000,60705.88376893482,60205.1856532208,9.755711026821224,8.850453178847939,Bearish Market,neutral
اختيارخ فصبا-3800-14031114,-21.379878387813758,-39.36871978917421,0.0,0.0,-853434.6377563977,-1451714.1763737712,-890035.5242383507,-1489323.8882727127,-0.35094770656220836,-1296.4555345821454,5.002501250625313e-07,1000,6030.042037121069,3952.4383140364175,23.011873462282107,-19.370903426429674,Bearish Market,neutral
اختيارخ بساما-7078-14031205,-2005.6114529339875,1.9598262414803733,0.0,99.95,-2402000.0,2402.0,-2402000.0,2355.838349764484,-0.9999807819940734,0.9807819940734738,4.1631973355537054e-07,2402,8551.001637999309,7493.505891977855,41.105637590747655,23.655212738908492,Bearish Market,neutral
اختيارخ خپارس-700-14031114,-110.15828864099441,-42.38843491624956,0.0,0.0,-729416.6943060388,-299880.353286632,-736719.6105537992,-307758.92202651786,-0.7072079278423234,-13.493207571804993,1.01010101010101e-06,20000,1757.332478485016,748.6860263368116,84.59374774002268,-21.356509838570215,Bearish Market,neutral
اختيارخ توان-11000-14031002,-142.61999138745065,-169.24137047476592,0.0,0.0,-633133.3874317339,-739696.8028094681,-651546.4631885799,-758612.0155783412,-0.04128632463804294,-0.05388993538115859,7.247952453431906e-08,12551000,24881.385120963252,23631.144936234447,3.0498451893280265,-2.1282048613193383,Bearish Market,neutral
اختيارخ رويين-9000-14031030,0.6347992182261113,-50.93751983335743,58.06,0.0,-234084.00645416795,-2767983.828504385,-303219.1042149616,-2841892.5556706353,0.008656229576957209,-1.6215886408757823,2.5e-07,1539000,13358.160074546719,10829.35761735753,5.2984398119716,-14.635364832433162,Bearish Market,neutral
اختيارخ تيام-12000-14031226,-2.9306229462089735,-1.7358461687301263,7.7,20.06,-1478736.7925192665,-1218395.2169500382,-1680134.7880737344,-1422307.1201750317,-0.2656762894571336,-0.2728277649409684,3.8461538461538463e-07,1500000,15733.013176131877,14547.649169710983,21.93298594227604,12.746254124707313,Bearish Market,neutral
اختيارخ توان-22000-14031219,-4.69025530115444,4.122093318560806,1.53,97.3,-3177589.0325365416,242677.45163427672,-3538298.3031839104,-129440.19003954473,-0.3220366201515722,0.2975066724079654,1.754693805930865e-07,5500000,29671.6140237714,29458.442025116914,22.889269098245602,22.00638651943223,Bearish Market,neutral
اختيارخ خپارس-700-14031009,-135.03916360090608,-53.05451850312976,0.0,0.0,-106096.32865566394,-45757.22002687567,-107922.60918781551,-47680.133966368434,-0.27525709221597344,-0.17525876937950258,2.777777777777778e-06,222000,1069.9494173774824,930.6541158698479,12.38964468250865,-2.2422147195537923,Bearish Market,neutral
