OptionName,DRX,DRY
اختيارخ فولاد-5500-1403/12/01,3401039.417767623,-102977.817667972
اختيارخ خودرو-2400-1403/10/05,3960463.8349440107,-77054.59431830376
اختيارخ خودرو-1900-1403/11/03,3423873.070549518,-36999.19320133686
اختيارخ خودرو-2000-1403/11/03,3435314.9420349896,-38238.39461895276
اختيارخ خودرو-2200-1403/12/01,3197370.4910896607,-2246.3199373151583
اختيارخ خودرو-2600-1403/12/01,3202074.330185206,-2778.841281265908
اختيارخ خودران-9000-03/09/21,4071474.2823510077,-90416.49376236254
اختيارخ خودران-6500-03/11/28,908482.833347993,179494.85162114358
اختيارخ خودران-7500-03/11/28,1762120.1078524524,183477.9553122745
اختيارخ شپنا-4000-1403/10/12,3733379.130185368,-102416.04369260318
اختيارخ سرو-14000-1403/10/19,1774698.6475904677,89167.55829733313
اختيارخ شتاب-7000-1403/12/15,213737.67943795444,264251.6070733042
اختيارخ خساپا-1800-1403/09/21,4045296.436590244,-98527.81353244433
اختيارخ خساپا-2000-1403/09/21,4158320.1763820928,-98269.14393231814
اختيارخ خساپا-2800-1403/09/21,4214891.923038927,-98188.65232960251
اختيارخ خساپا-2600-1403/12/22,2692859.319851896,-93411.29294318036
اختيارخ شستا-750-1403/11/10,3934458.564912591,-74065.36454097697
اختيارخ شستا-850-1403/11/10,3912534.979983034,-74158.98338484348
اختيارخ شستا-1500-1404/01/20,4030363.553883811,-101914.03132187609
اختيارخ شستا-1600-1404/01/20,3980866.1498778993,-101997.70112096939
اختيارخ ذوب-400-1403/09/28,4167308.7001498253,-99622.86044121112
اختيارخ اهرم-15000-1403/10/26,-827405.8925576927,262750.69682773494
اختيارخ اهرم-24000-1403/10/26,107340.73662847001,-108545.36461754222
اختيارخ اهرم-26000-1403/11/24,367555.6603063941,-108105.50572267109
اختيارخ اهرم-15000-1403/12/22,-5221410.921591903,728584.3201192867
اختيارخ اهرم-24000-1403/12/22,-2821491.3667728556,-113496.14936431173
اختيارخ ارزش-15000-1403/09/25,2239059.8270285777,-40630.31239733609
اختيارخ خبهمن-1300-1403/09/25,4218102.421339767,-96046.57682212297
اختيارخ خبهمن-1600-1403/11/28,3517400.493572105,-73742.40330660314
اختيارخ بيدار-6500-1403/10/19,2264150.096246714,60191.351295251254
اختيارخ وبصادر-2000-1403/09/21,4199261.682024207,-99182.53983354627
اختيارخ وبصادر-2000-1403/11/17,3430737.86015154,-102927.61765014095
اختيارخ وتجارت-1400-1403/10/19,3920033.738723326,-78631.28303349072
اختيارخ وتجارت-1700-1403/10/19,3918192.533068865,-89275.1931951871
اختيارخ وتجارت-1800-1403/10/19,3980866.1500074146,-101997.70226150425
اختيارخ وتجارت-1700-1403/12/15,3683881.726159165,-102499.71072700157
اختيارخ وتجارت-1800-1403/12/15,3754592.303245944,-102380.18469936027
اختيارخ فولاد-2800-1403/09/21,3234478.9144860962,-97455.55830853306
اختيارخ فولاد-3250-1403/09/21,3163821.886879976,-97728.30487118835
اختيارخ فولاد-4000-1403/12/01,2068136.5606647003,40474.70233196841
اختيارخ فولاد-6000-1403/12/01,3543874.7834758186,-102736.37574817281
اختيارخ خودرو-3500-1403/10/05,3903084.515217788,-102129.18595751871
اختيارخ خودرو-3750-1403/11/03,3614585.3606066843,-102616.85191138783
اختيارخ خودرو-2800-1403/12/01,3134823.5280737258,-8055.072125202001
اختيارخ خودرو-3000-1403/12/01,2976864.0793944006,-40407.72385292899
اختيارخ خودرو-3250-1403/12/01,3210120.859622411,-103300.5383511839
اختيارخ خودرو-2000-1404/02/03,2295639.85628494,61208.19603297787
اختيارخ جهش-8000-1403/10/12,2440400.3904897356,4286.35016559159
اختيارخ جهش-9000-1403/10/12,1940395.8398794322,2800.0227330552298
اختيارخ شتاب-7500-1403/10/12,2273644.1392547805,11401.808126393109
اختيارخ شتاب-7500-1403/11/17,987977.0418967642,165618.46316884074
اختيارخ شتاب-8000-1403/12/15,-113691.79342685174,264787.63029357913
اختيارخ خساپا-2600-1403/09/21,4186768.9135791,-98280.75438057822
اختيارخ خساپا-2200-1403/10/26,3696551.9964036383,-54747.225763722505
اختيارخ خساپا-3250-1403/10/26,3888942.399758814,-102153.08948456602
اختيارخ خساپا-2800-1403/12/22,2990918.070584799,-103671.07129828446
اختيارخ شستا-1050-1403/11/10,3939020.0923516625,-74327.24619307401
اختيارخ شستا-1150-1403/11/10,3897231.648367784,-78349.99352805158
اختيارخ شستا-950-1403/12/08,3744124.1497870805,-61920.96335002635
اختيارخ شستا-1200-1404/02/10,3401039.417672469,-102977.81828965907
اختيارخ ذوب-200-1403/09/28,4154660.5299472315,-99629.7878345071
اختيارخ ذوب-500-1403/09/28,4192997.8815437043,-101639.43940308111
اختيارخ خاور-1100-14031009,3943784.30504932,-88125.21416980214
اختيارخ خاور-1400-14031009,3268489.361681002,-89203.38188004027
اختيارخ هم وزن-17000-14031205,-841595.2080106633,-110149.40562684312
اختيارخ موج-10000-14031219,-2178691.1134368433,499140.4279528983
اختيارخ خپارس-700-14031114,2975025.513728692,-82200.49687227936
اختيارخ رويين-9500-14031030,1507137.8891792875,106594.66134930257
اختيارخ خاور-1300-14031009,3801622.2253439277,-88200.28517879797
اختيارخ دي-650-14031002,3929853.8577858363,-97313.26488652916
اختيارخ خاور-1600-14031009,3825302.8803753606,-102260.68967685859
اختيارخ خاور-1500-14031009,3307701.455964961,-103135.6201393854
اختيارخ كرمان-850-14031016,4015637.390012595,-89539.39844529914
اختيارخ موج-8500-14031219,-3902138.5993903503,514405.9510140909
اختيارخ خاور-1000-14031009,3872729.116215613,-88579.41454556388
اختيارخ خاور-1200-14031009,3872011.9310744326,-88166.56530179619
اختيارخ خاور-1700-14031009,3621656.4186655423,-102605.41908912394
اختيارخ موج-15000-14031016,1497423.8020582586,116139.93040807117
اختيارخ اطلس-45000-14031002,434803.5859758542,218687.85553519067
اختيارخ خپارس-450-14031009,3873493.0194247817,-93473.00206747772
اختيارخ خپارس-500-14031009,4015092.477978847,-93319.31134947509
اختيارخ موج-11000-14031219,-2786679.5442457506,500305.3446411418
اختيارخ رويين-11000-14031030,1920390.1140266773,47289.79571890418
اختيارخ رويين-8500-14031226,-434330.0908830147,330411.186627341
اختيارخ رويين-8500-14031030,2693309.582044308,109856.64424115457
اختيارخ رويين-16000-14031030,3825302.8803765955,-102260.75423645863
اختيارخ فصبا-5000-14031114,4045919.880887752,-101887.73742888603
اختيارخ آساس-36000-14031030,-6790028.335505712,708697.0586612363
